date,time,N,itermax,tolerance,algorithm,omp_max_threads,cli_threads,omp_dynamic,threads_used,wall_total_s,solver_total_s,solver_update_s,iters_done,diffmax_final
2026-01-19,13:36:58,100,5000, 1.00000E-05,jacobi,14,14,0,14, 1.4723968328908086E+00, 1.4685715888626873E+00, 1.4277739389799535E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:00,100,5000, 1.00000E-05,jacobi,15,15,0,15, 1.3720935769379139E+00, 1.3687053830362856E+00, 1.3283034050837159E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:01,100,5000, 1.00000E-05,jacobi,16,16,0,16, 1.2965437220409513E+00, 1.2931227171793580E+00, 1.2513394155539572E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:02,100,5000, 1.00000E-05,jacobi,17,17,0,17, 1.2526209908537567E+00, 1.2491049100644886E+00, 1.2017424302175641E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:04,100,5000, 1.00000E-05,jacobi,18,18,0,18, 1.1847643712535501E+00, 1.1815833221189678E+00, 1.1294615138322115E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:05,100,5000, 1.00000E-05,jacobi,19,19,0,19, 1.1148528200574219E+00, 1.1115152309648693E+00, 1.0661348942667246E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:06,100,5000, 1.00000E-05,jacobi,20,20,0,20, 1.0769702210091054E+00, 1.0734715750440955E+00, 1.0213584541343153E+00,0, 4.3908869434972075E-04
2026-01-19,13:37:07,100,5000, 1.00000E-05,jacobi,21,21,0,21, 1.0612966637127101E+00, 1.0530639700591564E+00, 9.9577778996899724E-01,0, 4.3908869434972075E-04
2026-01-19,13:37:08,100,5000, 1.00000E-05,jacobi,22,22,0,22, 1.0245173750445247E+00, 1.0210467679426074E+00, 9.5928640430793166E-01,0, 4.3908869434972075E-04
2026-01-19,13:37:09,100,5000, 1.00000E-05,jacobi,23,23,0,23, 9.7919487301260233E-01, 9.7568244813010097E-01, 9.1028558695688844E-01,0, 4.3908869434972075E-04
2026-01-19,13:37:10,100,5000, 1.00000E-05,jacobi,24,24,0,24, 9.6078318590298295E-01, 9.5729868393391371E-01, 9.0355073381215334E-01,0, 4.3908869434972075E-04
2026-01-20,18:34:55,100,5000, 1.00000E-05,jacobi,8,8,0,8, 4.1140000820159912E+00, 4.1119999885559082E+00, 3.6399965286254883E+00,0, 4.3908869434616804E-04
